"sim_id","general_sim_id","region_id_1_sim_id","region_id_2_sim_id","region_id_3_sim_id","region_id_4_sim_id","region_id_5_sim_id","region_id_6_sim_id","region_id_7_sim_id","region_id_8_sim_id","region_id_9_sim_id","total_disease_mort_SA_2005","total_disease_mort_SA_2017"
1652503,357,14,25,18,3,39,10,34,35,21,261691.86766096,145493.642777504
1652504,357,14,25,18,3,39,26,34,3,17,260345.816871592,141291.517244486
1652505,357,14,25,18,3,39,26,34,3,21,260762.955956561,141789.469742944
1652506,357,14,25,18,3,39,26,34,5,17,270054.794787206,146083.836415513
1652507,357,14,25,18,3,39,26,34,5,21,270471.933872176,146581.788913971
1652508,357,14,25,18,3,39,26,34,14,17,267791.108704889,148141.506007807
1652509,357,14,25,18,3,39,26,34,14,21,268208.247789858,148639.458506266
1652510,357,14,25,18,3,39,26,34,21,17,263939.257420283,143797.931509715
1652511,357,14,25,18,3,39,26,34,21,21,264356.396505252,144295.884008173
1652512,357,14,25,18,3,39,26,34,35,17,269613.144618561,149054.013487274
1652513,357,14,25,18,3,39,26,34,35,21,270030.28370353,149551.965985732
1652514,357,14,25,18,4,5,3,34,3,17,291801.796352155,149348.29421699
1652515,357,14,25,18,4,5,3,34,3,21,292218.935437124,149846.246715448
1652516,357,14,25,18,4,5,3,34,5,17,301510.77426777,154140.613388017
1652517,357,14,25,18,4,5,3,34,5,21,301927.913352739,154638.565886476
1652518,357,14,25,18,4,5,3,34,14,17,299247.088185452,156198.282980312
1652519,357,14,25,18,4,5,3,34,14,21,299664.227270421,156696.23547877
1652520,357,14,25,18,4,5,3,34,21,17,295395.236900846,151854.708482219
1652521,357,14,25,18,4,5,3,34,21,21,295812.375985816,152352.660980678
1652522,357,14,25,18,4,5,3,34,35,17,301069.124099125,157110.790459778
1652523,357,14,25,18,4,5,3,34,35,21,301486.263184094,157608.742958237
1652524,357,14,25,18,4,5,5,34,3,17,303252.073334013,154219.209401752
1652525,357,14,25,18,4,5,5,34,3,21,303669.212418982,154717.16190021
1652526,357,14,25,18,4,5,5,34,5,17,312961.051249628,159011.52857278
1652527,357,14,25,18,4,5,5,34,5,21,313378.190334597,159509.481071238
1652528,357,14,25,18,4,5,5,34,14,17,310697.36516731,161069.198165074
1652529,357,14,25,18,4,5,5,34,14,21,311114.504252279,161567.150663532
1652530,357,14,25,18,4,5,5,34,21,17,306845.513882704,156725.623666982
1652531,357,14,25,18,4,5,5,34,21,21,307262.652967673,157223.57616544
1652532,357,14,25,18,4,5,5,34,35,17,312519.401080982,161981.705644541
1652533,357,14,25,18,4,5,5,34,35,21,312936.540165951,162479.658142999
1652534,357,14,25,18,4,5,9,34,3,17,303402.055601185,158952.709726595
1652535,357,14,25,18,4,5,9,34,3,21,303819.194686154,159450.662225053
1652536,357,14,25,18,4,5,9,34,5,17,313111.0335168,163745.028897622
1652537,357,14,25,18,4,5,9,34,5,21,313528.172601769,164242.98139608
