"region_name","year","val_rate","upper_rate","lower_rate"
"Northern Cape",1994,101.119694145904,181.175699719586,55.1200304892784
"Western Cape",1994,52.4311052761703,84.8391251916524,32.6748732679007
"Eastern Cape",1995,145.329825875906,248.871908427376,80.3396821994096
"Free State",1995,191.510057815987,360.179453369346,97.4194481780859
"Gauteng",1995,156.521871740522,289.035287033306,79.1603361654694
"KwaZulu-Natal",1995,259.469597968989,493.252508193977,131.590267605914
"Limpopo",1995,83.8309791244649,155.465083347656,43.9289429381436
"Mpumalanga",1995,145.934131676101,293.585872229131,70.9728545396292
"North-West",1995,197.766372852641,395.959664231218,99.0923537116168
"Northern Cape",1995,117.859070794215,218.918966317381,63.0634736037703
"Western Cape",1995,56.9024428278953,94.0841373409436,35.2861307503619
"Eastern Cape",1996,193.71085153368,334.328667889594,107.457592007425
"Free State",1996,259.643378207845,488.583736725492,129.522204185237
"Gauteng",1996,213.198716626333,403.825370679092,105.825663528097
"KwaZulu-Natal",1996,336.400206021086,648.380719473089,164.623453394448
"Limpopo",1996,111.212858557788,208.630674034345,57.3117578993245
"Mpumalanga",1996,205.279305526409,412.048922919506,99.2467140672903
"North-West",1996,266.48729816664,522.910829258825,134.97368813351
"Northern Cape",1996,148.548052566619,277.003984735943,80.2670700237142
"Western Cape",1996,61.7818759267178,106.46075503221,36.8840698434201
"Eastern Cape",1997,249.771641748108,437.575068550146,137.282674638753
"Free State",1997,351.7455328784,654.58059226529,175.219877678236
"Gauteng",1997,298.168291778425,558.714341300442,150.684969855359
"KwaZulu-Natal",1997,451.983365388635,852.045394343782,226.380644159109
"Limpopo",1997,152.999539463092,284.289619868131,80.4317387019942
"Mpumalanga",1997,284.222548098921,564.586744450902,137.587569045986
"North-West",1997,349.793823560391,676.998888404433,177.890804972425
"Northern Cape",1997,202.58379647959,367.176801128248,112.856632407784
"Western Cape",1997,82.54424473426,141.746828168419,49.5799803096809
"Eastern Cape",1998,339.452356134625,583.898831460053,190.350813507339
"Free State",1998,461.452885181112,846.045011476181,233.279492017841
"Gauteng",1998,385.374254339732,722.696507659074,189.793436056463
"KwaZulu-Natal",1998,583.279033238348,1080.2454277896,298.52223320821
"Limpopo",1998,202.321238431473,372.815283442144,107.119480399336
"Mpumalanga",1998,382.798116246094,745.941918408033,186.393622501543
"North-West",1998,453.060841966983,856.847365830906,235.870234750535
"Northern Cape",1998,257.519019627801,465.001542207504,144.509534627066
"Western Cape",1998,94.3043361796145,168.514234056065,54.1666772465399
"Eastern Cape",1999,420.30366555482,733.219287045097,234.588991549703
"Free State",1999,579.554625176218,1051.74226164101,291.87119356565
"Gauteng",1999,485.466128070671,902.690291573089,230.129880631041
