measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Free State,Female,45-49 years,All causes,Number,2015,1039.4881129027128,1276.649100016645,871.6183985988187
Deaths,Free State,Male,45-49 years,All causes,Rate,2015,2036.0643868896407,2525.772908836775,1728.9054499380024
Deaths,Free State,Female,45-49 years,All causes,Rate,2015,1286.0994764613067,1579.5252670771747,1078.4038337693798
Deaths,Free State,Male,50-54 years,All causes,Number,2015,1607.2046348252495,1841.0060966874182,1437.8515036427111
Deaths,Free State,Female,50-54 years,All causes,Number,2015,1106.9182827154564,1276.0274810464648,965.9274177495457
Deaths,Free State,Male,50-54 years,All causes,Rate,2015,2621.1759335878432,3002.4806858214733,2344.9793982402016
Deaths,Free State,Female,50-54 years,All causes,Rate,2015,1530.340660575434,1764.138119994378,1335.4174609172526
Deaths,Free State,Male,55-59 years,All causes,Number,2015,1601.7323763551155,1755.396157737486,1478.6218474839272
Deaths,Free State,Female,55-59 years,All causes,Number,2015,1141.7521706910045,1264.7571636129408,1037.058007196826
Deaths,Free State,Male,55-59 years,All causes,Rate,2015,3110.745747856701,3409.178221090801,2871.6511526198165
Deaths,Free State,Female,55-59 years,All causes,Rate,2015,1814.7034736844755,2010.207886696343,1648.3023342389574
Deaths,Limpopo,Male,15-19 years,All causes,Number,2015,389.1465164735033,433.33280753346975,357.2839527175193
Deaths,Limpopo,Female,15-19 years,All causes,Number,2015,316.6919833894213,393.4275823349138,275.21540889860626
Deaths,Limpopo,Male,15-19 years,All causes,Rate,2015,140.79345942456928,156.78008788998733,129.26556340742388
Deaths,Limpopo,Female,15-19 years,All causes,Rate,2015,122.6098474021822,152.31865144681336,106.55185813874468
Deaths,Limpopo,Male,20-24 years,All causes,Number,2015,639.6237526106374,675.4790798330534,620.7123591668068
Deaths,Limpopo,Female,20-24 years,All causes,Number,2015,560.253113431972,747.6705786326462,465.98426057740113
Deaths,Limpopo,Male,20-24 years,All causes,Rate,2015,256.9140903069632,271.3158987739058,249.31805682129547
Deaths,Limpopo,Female,20-24 years,All causes,Rate,2015,223.55006235046343,298.3326651182103,185.93526391721062
Deaths,Limpopo,Male,25-29 years,All causes,Number,2015,936.0091165904166,1088.8400808960562,873.1705054994932
Deaths,Limpopo,Female,25-29 years,All causes,Number,2015,1098.0189876495242,1441.0006281763108,936.0162772106383
Deaths,Limpopo,Male,25-29 years,All causes,Rate,2015,421.4272915603708,490.23766766920653,393.1349328556519
Deaths,Limpopo,Female,25-29 years,All causes,Rate,2015,468.64343622123624,615.0307905249623,399.49936152745045
Deaths,Limpopo,Male,30-34 years,All causes,Number,2015,1364.6096091720847,1709.5042839181697,1214.2587734428191
Deaths,Limpopo,Female,30-34 years,All causes,Number,2015,1556.0424831993546,1997.1301546170603,1326.9389497564237
Deaths,Limpopo,Male,30-34 years,All causes,Rate,2015,726.3352370677403,909.9109305564338,646.3086058768583
Deaths,Limpopo,Female,30-34 years,All causes,Rate,2015,747.4519131996086,959.3303339044542,637.4010140489527
Deaths,Limpopo,Male,35-39 years,All causes,Number,2015,1651.5796136059614,2076.1447227074837,1447.0075498117294
Deaths,Limpopo,Female,35-39 years,All causes,Number,2015,1580.4281775096676,2014.12749700174,1362.0524201202004
Deaths,Limpopo,Male,35-39 years,All causes,Rate,2015,1165.5496213368979,1465.1729020249602,1021.1794138536028
Deaths,Limpopo,Female,35-39 years,All causes,Rate,2015,920.8697030749136,1173.5737292672195,793.6284771035645
Deaths,Limpopo,Male,40-44 years,All causes,Number,2015,1827.4859278445472,2222.377342092481,1608.2791303433119
Deaths,Limpopo,Female,40-44 years,All causes,Number,2015,1484.0889216088283,1837.7071722800333,1289.8537687550008
Deaths,Limpopo,Male,40-44 years,All causes,Rate,2015,1551.5749232050916,1886.8462412495182,1365.4636296422618
Deaths,Limpopo,Female,40-44 years,All causes,Rate,2015,962.5179415531547,1191.8599343245187,836.5451532788094
Deaths,Limpopo,Male,45-49 years,All causes,Number,2015,1776.907861726595,2111.470174347034,1586.9759959565883
Deaths,Limpopo,Female,45-49 years,All causes,Number,2015,1364.9932660395705,1637.9483832231915,1199.5058705112585
Deaths,Limpopo,Male,45-49 years,All causes,Rate,2015,1740.6816334895332,2068.4231474869453,1554.621952241344
Deaths,Limpopo,Female,45-49 years,All causes,Rate,2015,966.9832492195296,1160.3490574415202,849.7493086469576
Deaths,Limpopo,Male,50-54 years,All causes,Number,2015,1790.4379399972072,2002.98901836425,1662.6366099688555
Deaths,Limpopo,Female,50-54 years,All causes,Number,2015,1370.6972373881272,1563.9564895576557,1241.8335035976577
Deaths,Limpopo,Male,50-54 years,All causes,Rate,2015,2102.6973013790566,2352.3181169926293,1952.606920830212
Deaths,Limpopo,Female,50-54 years,All causes,Rate,2015,1147.6931772518815,1309.5103306725866,1039.7947850815292
Deaths,Limpopo,Male,55-59 years,All causes,Number,2015,1795.3102783960298,1914.4861612382435,1718.2833438599264
Deaths,Limpopo,Female,55-59 years,All causes,Number,2015,1217.429474288177,1357.6107847833186,1128.019982280518
Deaths,Limpopo,Male,55-59 years,All causes,Rate,2015,2539.1622294229333,2707.7163250645162,2430.2206803348026
Deaths,Limpopo,Female,55-59 years,All causes,Rate,2015,1208.8156516424033,1348.00512074356,1120.0387691807337
Deaths,Northern Cape,Male,40-44 years,All causes,Rate,2015,1511.7663398306274,1801.2668213845482,1318.7786779463786
